event_id,cap,actual_recalled,candidate_count,split
TR_231,40,1,40,train
TR_231,80,1,80,train
TR_232,20,1,19,train
TR_232,40,1,19,train
TR_232,80,1,19,train
TR_233,20,1,20,train
TR_233,40,1,40,train
TR_233,80,1,71,train
TR_234,20,1,20,train
TR_234,40,1,40,train
TR_234,80,1,80,train
TR_235,20,1,20,train
TR_235,40,1,39,train
TR_235,80,1,39,train
TR_236,20,1,20,train
TR_236,40,1,40,train
TR_236,80,1,50,train
TR_237,20,1,20,train
TR_237,40,1,20,train
TR_237,80,1,20,train
TR_238,20,1,10,train
TR_238,40,1,10,train
TR_238,80,1,10,train
TR_239,20,1,5,train
TR_239,40,1,5,train
TR_239,80,1,5,train
TR_240,20,1,20,train
TR_240,40,1,40,train
TR_240,80,1,70,train
TR_241,20,1,20,train
TR_241,40,1,40,train
TR_241,80,1,48,train
TR_242,20,1,20,train
TR_242,40,1,40,train
TR_242,80,1,59,train
TR_243,20,1,15,train
TR_243,40,1,15,train
TR_243,80,1,15,train
TR_244,20,1,20,train
TR_244,40,1,40,train
TR_244,80,1,62,train
TR_245,20,1,20,train
TR_245,40,1,30,train
TR_245,80,1,30,train
TR_246,20,1,20,train
TR_246,40,1,25,train
TR_246,80,1,25,train
TR_247,20,1,20,train
TR_247,40,1,20,train
TR_247,80,1,20,train
TR_248,20,1,20,train
TR_248,40,1,40,train
TR_248,80,1,41,train
TR_249,20,1,15,train
TR_249,40,1,15,train
TR_249,80,1,15,train
TR_250,20,1,20,train
TR_250,40,1,40,train
TR_250,80,1,44,train
TR_251,20,1,20,train
TR_251,40,1,40,train
TR_251,80,1,58,train
TR_252,20,1,20,train
TR_252,40,1,40,train
TR_252,80,1,56,train
TR_253,20,1,20,train
TR_253,40,1,40,train
TR_253,80,1,80,train
TR_254,20,1,20,train
TR_254,40,1,40,train
TR_254,80,1,51,train
TR_255,20,1,20,train
TR_255,40,1,40,train
TR_255,80,1,47,train
TR_256,20,1,20,train
TR_256,40,1,40,train
TR_256,80,1,54,train
TR_257,20,1,20,train
TR_257,40,1,40,train
TR_257,80,1,73,train
TR_258,20,1,20,train
TR_258,40,1,22,train
TR_258,80,1,22,train
TR_259,20,1,20,train
TR_259,40,1,30,train
TR_259,80,1,30,train
TR_260,20,1,7,train
TR_260,40,1,7,train
TR_260,80,1,7,train
TR_261,20,1,20,train
TR_261,40,1,36,train
TR_261,80,1,36,train
TR_262,20,1,6,train
TR_262,40,1,6,train
TR_262,80,1,6,train
TR_263,20,1,20,train
TR_263,40,1,27,train
TR_263,80,1,27,train
TR_264,20,1,6,train
TR_264,40,1,6,train
TR_264,80,1,6,train
TR_265,20,1,20,train
TR_265,40,1,23,train
TR_265,80,1,23,train
TR_266,20,1,20,train
TR_266,40,1,40,train
TR_266,80,1,43,train
TR_267,20,1,19,train
TR_267,40,1,19,train
TR_267,80,1,19,train
TR_268,20,1,20,train
TR_268,40,1,40,train
TR_268,80,1,49,train
TR_269,20,1,20,train
TR_269,40,1,27,train
TR_269,80,1,27,train
TR_270,20,1,20,train
TR_270,40,1,40,train
TR_270,80,1,49,train
TR_271,20,1,20,train
TR_271,40,1,40,train
TR_271,80,1,70,train
TR_273,20,0,20,train
TR_273,40,1,40,train
TR_273,80,1,80,train
TR_274,20,1,20,train
TR_274,40,1,40,train
TR_274,80,1,69,train
TR_275,20,1,20,train
TR_275,40,1,32,train
TR_275,80,1,32,train
TR_276,20,1,20,train
TR_276,40,1,40,train
TR_276,80,1,50,train
TR_277,20,1,15,train
TR_277,40,1,15,train
TR_277,80,1,15,train
TR_278,20,1,15,train
TR_278,40,1,15,train
TR_278,80,1,15,train
TR_279,20,1,20,train
TR_279,40,1,40,train
TR_279,80,1,55,train
TR_280,20,1,20,train
TR_280,40,1,40,train
TR_280,80,1,43,train
TR_281,20,1,20,train
TR_281,40,1,40,train
TR_281,80,1,76,train
TR_282,20,1,20,train
TR_282,40,1,37,train
TR_282,80,1,37,train
TR_283,20,1,20,train
TR_283,40,1,40,train
TR_283,80,1,64,train
TR_284,20,1,15,train
TR_284,40,1,15,train
TR_284,80,1,15,train
TR_285,20,1,20,train
TR_285,40,1,34,train
TR_285,80,1,34,train
TR_286,20,1,20,train
TR_286,40,1,40,train
TR_286,80,1,48,train
TR_287,20,1,20,train
TR_287,40,1,40,train
TR_287,80,1,78,train
TR_288,20,1,20,train
TR_288,40,1,40,train
TR_288,80,1,48,train
TR_289,20,1,15,train
TR_289,40,1,15,train
TR_289,80,1,15,train
TR_290,20,1,20,train
TR_290,40,1,40,train
TR_290,80,1,53,train
TR_291,20,1,20,train
TR_291,40,1,20,train
TR_291,80,1,20,train
TR_292,20,1,20,train
TR_292,40,1,40,train
TR_292,80,1,56,train
TR_293,20,1,20,train
TR_293,40,1,40,train
