rep,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
28,shuffle,23296,0.9843320741758241,0.22669127747252749,0.5361435439560439,0.6971153846153846,0.4259360864205419,0.23029959443548034,0.708211591295626,14960,0.8173956907112488,0.9791954419889503,0.891009779663014
29,shuffle,23296,0.9843320741758241,0.22402987637362637,0.5291895604395604,0.6965573489010989,0.4232324994179431,0.2275958309711744,0.7076446731498844,14960,0.818535601037763,0.9804903314917127,0.8922230950510605
30,shuffle,23296,0.9843320741758241,0.22179773351648352,0.5300910027472527,0.6948832417582418,0.4222272959348568,0.2253281583882081,0.7059439187126597,14960,0.8158310587559259,0.9804903314917127,0.8906139731827806
31,shuffle,23296,0.9843320741758241,0.22437328296703296,0.5290178571428571,0.6944969093406593,0.4230819120584605,0.22794470367624614,0.705551436919454,14960,0.8175670815049277,0.9810946132596685,0.891897194428095
32,shuffle,23296,0.9843320741758241,0.21986607142857142,0.5333533653846154,0.6985319368131868,0.42169670273254073,0.22336574942217957,0.7096506912040469,14960,0.8165124453052148,0.9826484806629834,0.8919098922624877
33,shuffle,23296,0.9843320741758241,0.22591861263736263,0.5361864697802198,0.6937242445054945,0.42530049138255943,0.22951463084906895,0.7047664733330427,14960,0.8169135624910111,0.9806629834254144,0.8913299333071792
34,shuffle,23296,0.9843320741758241,0.22557520604395603,0.5364869505494505,0.7000772664835165,0.42570302915409597,0.2291657581439972,0.7112206183768698,14960,0.8191796649335644,0.9792817679558011,0.8921044353570305
35,shuffle,23296,0.9843320741758241,0.22171188186813187,0.5306061126373627,0.6946256868131868,0.4220106856843356,0.22524094021194016,0.7056822641838559,14960,0.8145652641387714,0.9810082872928176,0.8900724495790092
36,shuffle,23296,0.9843320741758241,0.22171188186813187,0.5303485576923077,0.6932949862637363,0.42134255719961855,0.22524094021194016,0.704330382451703,14960,0.814820123262147,0.9815262430939227,0.890437778996006
37,shuffle,23296,0.9843320741758241,0.22304258241758243,0.5294900412087912,0.6974158653846154,0.4227397158531887,0.22659282194409314,0.7085168549125638,14960,0.8181883640552995,0.9809219613259669,0.8921953517587939
